title,year,numPages,DOI
Automatic Assessments of Code Explanations: Predicting Answering Times on Stack Overflow.,2015,4,10.1109/MSR.2015.59
Bayesian hierarchical modelling for tailoring metric thresholds.,2018,5,10.1145/3196398.3196443
An exploratory study of identifier renamings.,2011,10,10.1145/1985441.1985449
The Wonderless Dataset for Serverless Computing.,2021,5,10.1109/MSR52588.2021.00075
Do time of day and developer experience affect commit bugginess.,2011,10,10.1145/1985441.1985464
What Do Contribution Guidelines Say About Software Testing?,2025,5,10.1109/MSR66628.2025.00073
Need for Tweet: How Open Source Developers Talk About Their GitHub Work on Twitter.,2020,5,10.1145/3379597.3387466
A C/C++ Code Vulnerability Dataset with Code Changes and CVE Summaries.,2020,5,10.1145/3379597.3387501
OpenHub: a scalable architecture for the analysis of software quality attributes.,2014,4,10.1145/2597073.2597135
How heated is it? Understanding GitHub locked issues.,2022,12,10.1145/3524842.3527957
What Can Self-Admitted Technical Debt Tell Us About Security? A Mixed-Methods Study.,2024,12,10.1145/3643991.3644909
Inspect4py: A Knowledge Extraction Framework for Python Code Repositories.,2022,5,10.1145/3524842.3528497
Escaping the Time Pit: Pitfalls and Guidelines for Using Time-Based Git Data.,2021,12,10.1109/MSR52588.2021.00022
On Improving Deep Learning Trace Analysis with System Call Arguments.,2021,11,10.1109/MSR52588.2021.00025
"The Atlassian Data Lake: consolidating enriched software development data in a single, queryable system.",2023,2,10.1109/MSR59073.2023.00045
A Dataset and an Approach for Identity Resolution of 38 Million Author IDs extracted from 2B Git Commits.,2020,5,10.1145/3379597.3387500
Waiting around or job half-done? Sentiment in self-admitted technical debt.,2021,12,10.1109/MSR52588.2021.00052
Kataribe: a hosting service of historage repositories.,2014,4,10.1145/2597073.2597125
An empirical study of just-in-time defect prediction using cross-project models.,2014,10,10.1145/2597073.2597075
Contextual analysis of program logs for understanding system behaviors.,2013,4,10.1109/MSR.2013.6624054
The impact of systematic edits in history slicing.,2019,5,10.1109/MSR.2019.00083
LineVul: A Transformer-based Line-Level Vulnerability Prediction.,2022,13,10.1145/3524842.3528452
Intensive metrics for the study of the evolution of open source projects: case studies from apache software foundation projects.,2013,10,10.1109/MSR.2013.6624023
Does This Apply to Me? An Empirical Study of Technical Context in Stack Overflow.,2022,12,10.1145/3524842.3528435
Drawing Pandas: A Benchmark for LLMs in Generating Plotting Code.,2025,5,10.1109/MSR66628.2025.00083
Software Bills of Materials in Maven Central.,2025,5,10.1109/MSR66628.2025.00062
The Synergy between Voting and Acceptance of Answers on StackOverflow - Or the Lack Thereof.,2015,4,10.1109/MSR.2015.50
An exploratory study on assessing the impact of environment variations on the results of load tests.,2017,12,10.1109/MSR.2017.22
Negative results on mining crypto-API usage rules in Android apps.,2019,11,10.1109/MSR.2019.00065
Jbench: a dataset of data races for concurrency testing.,2018,4,10.1145/3196398.3196451
Evaluating the effectiveness of local explanation methods on source code-based defect prediction models.,2022,6,10.1145/3524842.3528472
Characterizing and predicting blocking bugs in open source projects.,2014,10,10.1145/2597073.2597099
Bidirectional Paper-Repository Tracing in Software Engineering.,2024,5,10.1145/3643991.3644876
"An empirical study of activity, popularity, size, testing, and stability in continuous integration.",2017,4,10.1109/MSR.2017.38
Quid Pro Quo: An Exploration of Reciprocity in Code Review.,2022,3,10.1145/3524842.3528522
Identifying security bug reports via text mining: An industrial case study.,2010,10,10.1109/MSR.2010.5463340
A graph-based dataset of commit history of real-world Android apps.,2018,4,10.1145/3196398.3196460
What are your programming language's energy-delay implications?,2018,11,10.1145/3196398.3196414
A study of the contributors of PostgreSQL.,2006,2,10.1145/1137983.1138022
Using Software Distributions to Understand the Relationship among Free and Open Source Software Projects.,2007,,10.1109/MSR.2007.32
A Dataset of the Activity of the Git Super-repository of Linux in 2012.,2015,4,10.1109/MSR.2015.66
Apples vs. oranges?: an exploration of the challenges of comparing the source code of two software systems.,2011,4,10.1145/1985441.1985483
Code siblings: Technical and legal implications of copying code between applications.,2009,10,10.1109/MSR.2009.5069483
Using evolutionary annotations from change logs to enhance program comprehension.,2006,4,10.1145/1137983.1138020
DistilKaggle: A Distilled Dataset of Kaggle Jupyter Notebooks.,2024,5,10.1145/3643991.3644882
Build Code Needs Maintenance Too: A Study on Refactoring and Technical Debt in Build Systems.,2025,13,10.1109/MSR66628.2025.00098
Leveraging Models to Reduce Test Cases in Software Repositories.,2021,12,10.1109/MSR52588.2021.00035
"Some from here, some from there: cross-project code reuse in GitHub.",2017,11,10.1109/MSR.2017.15
Replicating mining studies with SOFAS.,2013,10,10.1109/MSR.2013.6624050
On the Naturalness and Localness of Software Logs.,2021,12,10.1109/MSR52588.2021.00028
A large-scale study of the impact of feature selection techniques on defect classification models.,2017,12,10.1109/MSR.2017.18
Comparing fine-grained source code changes and code churn for bug prediction.,2011,10,10.1145/1985441.1985456
Can we predict types of code changes? An empirical analysis.,2012,10,10.1109/MSR.2012.6224284
An empirical investigation of changes in some software properties over time.,2012,10,10.1109/MSR.2012.6224285
VulinOSS: a dataset of security vulnerabilities in open-source systems.,2018,4,10.1145/3196398.3196454
The FOSSology project.,2008,4,10.1145/1370750.1370763
ETA: Estimated Time of Answer Predicting Response Time in Stack Overflow.,2015,4,10.1109/MSR.2015.52
A historical dataset for the gnome ecosystem.,2013,4,10.1109/MSR.2013.6624032
Ethical Mining: A Case Study on MSR Mining Challenges.,2020,12,10.1145/3379597.3387462
A Study of Potential Code Borrowing and License Violations in Java Projects on GitHub.,2020,11,10.1145/3379597.3387455
A study of innovation diffusion through link sharing on stack overflow.,2013,4,10.1109/MSR.2013.6624011
Mining test repositories for automatic detection of UI performance regressions in Android apps.,2016,12,10.1145/2901739.2901747
Do Explicit Review Strategies Improve Code Review Performance?,2020,5,10.1145/3379597.3387509
Does Configuration Encoding Matter in Learning Software Performance? An Empirical Study on Encoding Schemes.,2022,13,10.1145/3524842.3528431
The MetricsGrimoire Database Collection.,2015,4,10.1109/MSR.2015.68
Impact of the Creation of the Mozilla Foundation in the Activity of Developers.,2007,,10.1109/MSR.2007.15
Did You Remember To Test Your Tokens?,2020,11,10.1145/3379597.3387471
The State of the ML-universe: 10 Years of Artificial Intelligence & Machine Learning Software Development on GitHub.,2020,12,10.1145/3379597.3387473
"A large-scale study on the usage of testing patterns that address maintainability attributes: patterns for ease of modification, diagnoses, and comprehension.",2017,11,10.1109/MSR.2017.8
Prevalence of confusing code in software projects: atoms of confusion in the wild.,2018,11,10.1145/3196398.3196432
git2net: mining time-stamped co-editing networks from large git repositories.,2019,12,10.1109/MSR.2019.00070
gambit - An Open Source Name Disambiguation Tool for Version Control Systems.,2021,5,10.1109/MSR52588.2021.00021
The GHTorent dataset and tool suite.,2013,4,10.1109/MSR.2013.6624034
Measuring developer contribution from software repository data.,2008,4,10.1145/1370750.1370781
A platform for software engineering research.,2009,10,10.1109/MSR.2009.5069478
GHTorrent: Github's data from a firehose.,2012,10,10.1109/MSR.2012.6224294
Lean GHTorrent: GitHub data on demand.,2014,4,10.1145/2597073.2597126
A dataset for pull-based development research.,2014,4,10.1145/2597073.2597122
Encouraging user behaviour with achievements: an empirical study.,2013,4,10.1109/MSR.2013.6624007
Finding Relevant Applications for Prototyping.,2007,,10.1109/MSR.2007.9
Code Ownership and Software Quality: A Replication Study.,2015,11,10.1109/MSR.2015.8
Strategies for avoiding text fixture smells during software evolution.,2013,10,10.1109/MSR.2013.6624053
Analyzing Developer Use of ChatGPT Generated Code in Open Source GitHub Projects.,2024,5,10.1145/3643991.3645072
A Large-Scale Comparison of Python Code in Jupyter Notebooks and Scripts.,2022,12,10.1145/3524842.3528447
Optimizing Duplicate Size Thresholds in IDEs.,2023,2,10.1109/MSR59073.2023.00071
Cross-Domain Evaluation of a Deep Learning-Based Type Inference System.,2023,12,10.1109/MSR59073.2023.00034
Do the stars align? Multidimensional analysis of Android's layered architecture.,2012,4,10.1109/MSR.2012.6224269
Is it Really Fun? Detecting Low Engagement Events in Video Games.,2025,12,10.1109/MSR66628.2025.00089
Enhancing Just-In-Time Defect Prediction Models with Developer-Centric Features.,2025,11,10.1109/MSR66628.2025.00021
Coupling and cohesion measures for evaluation of component reusability.,2006,4,10.1145/1137983.1137989
Oops! where did that code snippet come from?,2014,10,10.1145/2597073.2597094
The impact of the adoption of continuous integration on developer attraction and retention.,2017,4,10.1109/MSR.2017.37
Process mining multiple repositories for software defect resolution from control and organizational perspective.,2014,10,10.1145/2597073.2597081
Identifying Software Process Management Challenges: Survey of Practitioners in a Large Global IT Company.,2015,11,10.1109/MSR.2015.39
Sentiment analysis of commit comments in GitHub: an empirical study.,2014,4,10.1145/2597073.2597118
Communication in open source software development mailing lists.,2013,10,10.1109/MSR.2013.6624039
The Firefox Temporal Defect Dataset.,2015,4,10.1109/MSR.2015.73
The rise of Android code smells: who is to blame?,2019,12,10.1109/MSR.2019.00071
A Replication Study on the Usability of Code Vocabulary in Predicting Flaky Tests.,2021,11,10.1109/MSR52588.2021.00034
Who does what during a code review? datasets of OSS peer review repositories.,2013,4,10.1109/MSR.2013.6624003
Concern based mining of heterogeneous software repositories.,2006,7,10.1145/1137983.1138004
A Traceability Dataset for Open Source Systems.,2021,5,10.1109/MSR52588.2021.00073
Finding patterns in static analysis alerts: improving actionable alert ranking.,2014,10,10.1145/2597073.2597100
Improved Automatic Summarization of Subroutines via Attention to File Context.,2020,11,10.1145/3379597.3387449
"The Ripple Effect of Vulnerabilities in Maven Central: Prevalence, Propagation, and Mitigation Challenges.",2025,5,10.1109/MSR66628.2025.00063
RefExpo: Unveiling Software Project Structures through Advanced Dependency Graph Extraction.,2025,5,10.1109/MSR66628.2025.00078
App store mining and analysis: MSR for app stores.,2012,4,10.1109/MSR.2012.6224306
Operationalizing Threats to MSR Studies by Simulation-Based Testing.,2022,12,10.1145/3524842.3527960
Characterizing and Understanding Software Security Vulnerabilities in Machine Learning Libraries.,2023,12,10.1109/MSR59073.2023.00018
GitRank: A Framework to Rank GitHub Repositories.,2022,3,10.1145/3524842.3528519
Automatic High-Level Test Case Generation using Large Language Models.,2025,12,10.1109/MSR66628.2025.00105
Understanding the Time to First Response in GitHub Pull Requests.,2023,11,10.1109/MSR59073.2023.00015
Understanding Abandonment and Slowdown Dynamics in the Maven Ecosystem.,2025,5,10.1109/MSR66628.2025.00065
Extracting Facts from Performance Tuning History of Scientific Applications for Predicting Effective Optimization Patterns.,2015,11,10.1109/MSR.2015.9
Raising MSR researchers: an experience report on teaching a graduate seminar course in mining software repositories (MSR).,2016,5,10.1145/2901739.2901780
An extension of fault-prone filtering using precise training and a dynamic threshold.,2008,10,10.1145/1370750.1370772
Mining the history of synchronous changes to refine code ownership.,2009,10,10.1109/MSR.2009.5069492
Matching GitHub Developer Profiles to Job Advertisements.,2015,5,10.1109/MSR.2015.41
Impacts of daylight saving time on software development.,2019,5,10.1109/MSR.2019.00076
Will They Like This? Evaluating Code Contributions with Language Models.,2015,11,10.1109/MSR.2015.22
Visualizing collaboration and influence in the open-source software community.,2011,4,10.1145/1985441.1985476
Finding software license violations through binary code clone detection.,2011,10,10.1145/1985441.1985453
The MSR cookbook: mining a decade of research.,2013,10,10.1109/MSR.2013.6624048
A Dataset of Dockerfiles.,2020,5,10.1145/3379597.3387498
An Empirical Study on the Performance of Individual Issue Label Prediction.,2023,6,10.1109/MSR59073.2023.00041
Large-Scale Manual Validation of Bugfixing Changes.,2020,4,10.1145/3379597.3387504
Towards a simplification of the bug report form in eclipse.,2008,4,10.1145/1370750.1370786
Towards a Theoretical Model for Software Growth.,2007,,10.1109/MSR.2007.31
Forecasting the Number of Changes in Eclipse Using Time Series Analysis.,2007,,10.1109/MSR.2007.10
Determinism and evolution.,2008,10,10.1145/1370750.1370752
Mining the Jazz repository: Challenges and opportunities.,2009,4,10.1109/MSR.2009.5069495
The impact of tangled code changes.,2013,10,10.1109/MSR.2013.6624018
Tooling for Time- and Space-efficient git Repository Mining.,2022,5,10.1145/3524842.3528503
Constructing Dataset of Functionally Equivalent Java Methods Using Automated Test Generation Techniques.,2022,5,10.1145/3524842.3528015
Toward Reusing Code Changes.,2015,5,10.1109/MSR.2015.43
AMAP: automatically mining abbreviation expansions in programs to enhance software maintenance tools.,2008,10,10.1145/1370750.1370771
Green mining: A methodology of relating software change to power consumption.,2012,10,10.1109/MSR.2012.6224303
Automated topic naming to support cross-project analysis of software maintenance activities.,2011,10,10.1145/1985441.1985466
Release Pattern Discovery via Partitioning: Methodology and Case Study.,2007,,10.1109/MSR.2007.28
What do large commits tell us?: a taxonomical study of large commits.,2008,10,10.1145/1370750.1370773
"Mining Challenge 2010: FreeBSD, GNOME Desktop and Debian/Ubuntu.",2010,4,10.1109/MSR.2010.5463350
GreenMiner: a hardware based mining software repositories software energy consumption framework.,2014,10,10.1145/2597073.2597097
LineVD: Statement-level Vulnerability Detection using Graph Neural Networks.,2022,12,10.1145/3524842.3527949
Do comments explain codes adequately?: investigation by text filtering.,2011,4,10.1145/1985441.1985482
GitProjectHealth: an Extensible Framework for Git Social Platform Mining.,2025,5,10.1109/MSR66628.2025.00094
DeepJIT: an end-to-end deep learning framework for just-in-time defect prediction.,2019,12,10.1109/MSR.2019.00016
Deep intellisense: a tool for rehydrating evaporated information.,2008,4,10.1145/1370750.1370755
A newbie's guide to eclipse APIs.,2008,4,10.1145/1370750.1370787
Intuition vs. Truth: Evaluation of Common Myths about StackOverflow Posts.,2015,4,10.1109/MSR.2015.58
Googling for Software Development: What Developers Search For and What They Find.,2021,12,10.1109/MSR52588.2021.00044
What Code Is Deliberately Excluded from Test Coverage and Why?,2021,11,10.1109/MSR52588.2021.00051
TestDossier: A Dataset of Tested Values Automatically Extracted from Test Execution.,2024,5,10.1145/3643991.3644875
Good practice versus reality: A landscape analysis of Research Software metadata adoption in European Open Science Clusters.,2025,13,10.1109/MSR66628.2025.00028
A Dataset of Contributor Activities in the NumFocus Open-Source Community.,2025,5,10.1109/MSR66628.2025.00035
"Automatically mining software-based, semantically-similar words from comment-code mappings.",2013,10,10.1109/MSR.2013.6624052
On the Effectiveness of Deep Vulnerability Detectors to Simple Stupid Bug Detection.,2021,5,10.1109/MSR52588.2021.00068
The build dependency perspective of Android's concrete architecture.,2012,4,10.1109/MSR.2012.6224270
Boa Views: Easy Modularization and Sharing of MSR Analyses.,2020,11,10.1145/3379597.3387480
Euphony: harmonious unification of cacophonous anti-virus vendor labels for Android malware.,2017,11,10.1109/MSR.2017.57
Using citation influence to predict software defects.,2013,10,10.1109/MSR.2013.6624058
Retrieving and analyzing mobile apps feature requests from online reviews.,2013,4,10.1109/MSR.2013.6624001
Should I contribute to this discussion?,2010,10,10.1109/MSR.2010.5463345
Whodunit: Classifying Code as Human Authored or GPT-4 generated- A case study on CodeChef problems.,2024,13,10.1145/3643991.3644926
Tracking Hackathon Code Creation and Reuse.,2021,3,10.1109/MSR52588.2021.00085
The Secret Life of Hackathon Code Where does it come from and where does it go?,2021,12,10.1109/MSR52588.2021.00020
Automatically Selecting Follow-up Questions for Deficient Bug Reports.,2021,12,10.1109/MSR52588.2021.00029
Challenges with responding to static analysis tool alerts.,2019,5,10.1109/MSR.2019.00049
Picaso: Enhancing API Recommendations with Relevant Stack Overflow Posts.,2023,12,10.1109/MSR59073.2023.00025
Software ingredients: detection of third-party component reuse in Java software release.,2016,12,10.1145/2901739.2901773
Source file set search for clone-and-own reuse analysis.,2017,12,10.1109/MSR.2017.19
On the Executability of R Markdown Files.,2024,11,10.1145/3643991.3644931
Opening the Valve on Pure-Data: Usage Patterns and Programming Practices of a Data-Flow Based Visual Programming Language.,2024,6,10.1145/3643991.3644865
TriGraph: A Probabilistic Subgraph-Based Model for Visual Code Completion in Pure Data.,2025,13,10.1109/MSR66628.2025.00110
Evolution of the Practice of Software Testing in Java Projects.,2023,5,10.1109/MSR59073.2023.00057
PyMigBench: A Benchmark for Python Library Migration.,2023,5,10.1109/MSR59073.2023.00075
A Four-Dimension Gold Standard Dataset for Opinion Mining in Software Engineering.,2024,5,10.1145/3643991.3644893
Leveraging automated sentiment analysis in software engineering.,2017,12,10.1109/MSR.2017.9
Insights into continuous integration build failures.,2017,4,10.1109/MSR.2017.30
Issue handling performance in proprietary software projects.,2012,4,10.1109/MSR.2012.6224282
Characterization of the Xen project code review process: an experience report.,2016,5,10.1145/2901739.2901778
Starting the InnerSource Journey: Key Goals and Metrics to Measure Collaboration.,2022,2,10.1145/3524842.3528044
Dataset: Copy-based Reuse in Open Source Software.,2024,6,10.1145/3643991.3644868
OSS License Identification at Scale: A Comprehensive Dataset Using World of Code.,2025,5,10.1109/MSR66628.2025.00032
Goblin: A Framework for Enriching and Querying the Maven Central Dependency Graph.,2024,5,10.1145/3643991.3644879
Navigating and Exploring Software Dependency Graphs Using Goblin.,2025,3,10.1109/MSR66628.2025.00029
A search system for mathematical expressions on software binaries.,2018,5,10.1145/3196398.3196413
Can LLMs Generate Higher Quality Code Than Humans? An Empirical Study.,2025,12,10.1109/MSR66628.2025.00081
An unabridged source code dataset for research in software reuse.,2013,4,10.1109/MSR.2013.6624047
Combining Large Language Models with Static Analyzers for Code Review Generation.,2025,13,10.1109/MSR66628.2025.00038
The Scent of Deep Learning Code: An Empirical Study.,2020,11,10.1145/3379597.3387479
"Large Language Models and Simple, Stupid Bugs.",2023,13,10.1109/MSR59073.2023.00082
ManyTypes4TypeScript: A Comprehensive TypeScript Dataset for Sequence-Based Type Inference.,2022,5,10.1145/3524842.3528507
Developer mistakes in writing Android manifests: an empirical study of configuration errors.,2017,12,10.1109/MSR.2017.41
From Innovations to Prospects: What Is Hidden Behind Cryptocurrencies?,2020,12,10.1145/3379597.3387439
Co-evolution of Infrastructure and Source Code - An Empirical Study.,2015,11,10.1109/MSR.2015.12
Will my patch make it? and how fast?: case study on the Linux kernel.,2013,10,10.1109/MSR.2013.6624016
Examining the evolution of code comments in PostgreSQL.,2006,2,10.1145/1137983.1138030
CoUpJava: A Dataset of Code Upgrade Histories in Open-Source Java Repositories.,2025,5,10.1109/MSR66628.2025.00075
PTMTorrent: A Dataset for Mining Open-source Pre-trained Model Packages.,2023,5,10.1109/MSR59073.2023.00021
PeaTMOSS: A Dataset and Initial Analysis of Pre-Trained Models in Open-Source Software.,2024,13,10.1145/3643991.3644907
Practitioners' Perceptions of the Goals and Visual Explanations of Defect Prediction Models.,2021,12,10.1109/MSR52588.2021.00055
The hidden cost of code completion: understanding the impact of the recommendation-list length on its efficiency.,2018,4,10.1145/3196398.3196474
What edits are done on the highly answered questions in stack overflow?: an empirical study.,2019,5,10.1109/MSR.2019.00045
Can ChatGPT Support Developers? An Empirical Evaluation of Large Language Models for Code Generation.,2024,5,10.1145/3643991.3645074
Quick Trigger on Stack Overflow: A Study of Gamification-Influenced Member Tendencies.,2015,4,10.1109/MSR.2015.57
Availability and Usage of Platform-Specific APIs: A First Empirical Study.,2024,5,10.1145/3643991.3644925
Mining and extraction of personal software process measures through IDE interaction logs.,2018,4,10.1145/3196398.3196462
Works for me! characterizing non-reproducible bug reports.,2014,10,10.1145/2597073.2597098
RapidRelease: a dataset of projects and issues on github with rapid releases.,2019,5,10.1109/MSR.2019.00088
Local and Global Recency Weighting Approach to Bug Prediction.,2007,,10.1109/MSR.2007.17
Connecting the .dotfiles: Checked-In Secret Exposure with Extra (Lateral Movement) Steps.,2023,12,10.1109/MSR59073.2023.00051
Logging library migrations: a case study for the apache software foundation projects.,2016,11,10.1145/2901739.2901769
Comparing Approaches to Mining Source Code for Call-Usage Patterns.,2007,,10.1109/MSR.2007.3
Combining Single-Version and Evolutionary Dependencies for Software-Change Prediction.,2007,,10.1109/MSR.2007.2
Mining sequences of changed-files from version histories.,2006,7,10.1145/1137983.1137996
Using software birthmarks to identify similar classes and major functionalities.,2006,2,10.1145/1137983.1138026
The promises and perils of mining GitHub.,2014,10,10.1145/2597073.2597074
On the Naturalness of Fuzzer-Generated Code.,2022,5,10.1145/3524842.3527972
PySStuBs: Characterizing Single-Statement Bugs in Popular Open-Source Python Projects.,2021,5,10.1109/MSR52588.2021.00066
SeSaMe: a data set of semantically similar Java methods.,2019,5,10.1109/MSR.2019.00079
Intertwining Communities: Exploring Libraries that Cross Software Ecosystems.,2023,5,10.1109/MSR59073.2023.00077
Generating the Blueprints of the Java Ecosystem.,2015,4,10.1109/MSR.2015.76
How Often Do Single-Statement Bugs Occur?: The ManySStuBs4J Dataset.,2020,5,10.1145/3379597.3387491
A study of language usage evolution in open source software.,2011,10,10.1145/1985441.1985447
Undocumented and unchecked: exceptions that spell trouble.,2014,4,10.1145/2597073.2597089
A Linked Data platform for mining software repositories.,2012,4,10.1109/MSR.2012.6224296
What Happens When We Fuzz? Investigating OSS-Fuzz Bug History.,2023,11,10.1109/MSR59073.2023.00038
Examining programmer practices for locally handling exceptions.,2016,4,10.1145/2901739.2903497
ApacheJIT: A Large Dataset for Just-In-Time Defect Prediction.,2022,5,10.1145/3524842.3527996
"Method Chaining Redux: An Empirical Study of Method Chaining in Java, Kotlin, and Python.",2023,12,10.1109/MSR59073.2023.00080
A dictionary to translate change tasks to source code.,2014,4,10.1145/2597073.2597095
The General Index of Software Engineering Papers.,2022,5,10.1145/3524842.3528494
Should Code Models Learn Pedagogically? A Preliminary Evaluation of Curriculum Learning for Real-World Software Engineering Tasks.,2025,6,10.1109/MSR66628.2025.00044
Unsupervised discovery of intentional process models from event logs.,2014,10,10.1145/2597073.2597101
Do faster releases improve software quality? An empirical case study of Mozilla Firefox.,2012,10,10.1109/MSR.2012.6224279
Rendezvous: a search engine for binary code.,2013,10,10.1109/MSR.2013.6624046
A Study on the Accuracy of OCR Engines for Source Code Transcription from Programming Screencasts.,2020,11,10.1145/3379597.3387468
Which bugs are missed in code reviews: An empirical study on SmartSHARK dataset.,2022,5,10.1145/3524842.3527997
S3M: Siamese Stack (Trace) Similarity Measure.,2021,5,10.1109/MSR52588.2021.00038
TestRoutes: A Manually Curated Method Level Dataset for Test-to-Code Traceability.,2020,5,10.1145/3379597.3387488
Mining Software Repositories with iSPAROL and a Software Evolution Ontology.,2007,,10.1109/MSR.2007.21
Empirical study in using version histories for change risk classification.,2019,5,10.1109/MSR.2019.00018
Using dynamic and contextual features to predict issue lifetime in GitHub projects.,2016,12,10.1145/2901739.2901751
Structure and evolution of package dependency networks.,2017,11,10.1109/MSR.2017.55
Keep the Ball Rolling: Analyzing Release Cadence in GitHub Projects.,2023,5,10.1109/MSR59073.2023.00058
Prioritizing Warning Categories by Analyzing Software History.,2007,,10.1109/MSR.2007.26
Denchmark: A Bug Benchmark of Deep Learning-related Software.,2021,5,10.1109/MSR52588.2021.00070
ECench: An Energy Bug Benchmark of Ethereum Client Software.,2022,5,10.1145/3524842.3528028
Program element matching for multi-version program analyses.,2006,7,10.1145/1137983.1137999
Micro pattern evolution.,2006,7,10.1145/1137983.1137995
How long did it take to fix bugs?,2006,2,10.1145/1137983.1138027
TA-RE: an exchange language for mining software repositories.,2006,4,10.1145/1137983.1137990
How Do Software Developers Use GitHub Actions to Automate Their Workflows?,2021,12,10.1109/MSR52588.2021.00054
A Dataset of Software Bill of Materials for Evaluating SBOM Consumption Tools.,2025,5,10.1109/MSR66628.2025.00090
New features for duplicate bug detection.,2014,4,10.1145/2597073.2597090
Predicting defect densities in source code files with decision tree learners.,2006,7,10.1145/1137983.1138012
"Mining the mind, minding the mine: grand challenges in comprehension and mining.",2018,,10.1145/3196398.3196477
Painting the Landscape of Automotive Software in GitHub.,2022,12,10.1145/3524842.3528460
"It's not a bug, it's a feature: does misclassification affect bug localization?",2014,4,10.1145/2597073.2597105
The Impact of Code Ownership of DevOps Artefacts on the Outcome of DevOps CI Builds.,2024,13,10.1145/3643991.3644924
Crossflow: a framework for distributed mining of software repositories.,2019,5,10.1109/MSR.2019.00032
Challenges and Future Research Direction for Microtask Programming in Industry.,2022,2,10.1145/3524842.3528511
Mining modern repositories with elasticsearch.,2014,4,10.1145/2597073.2597091
Smells-sus: Sustainability Smells in IaC.,2025,12,10.1109/MSR66628.2025.00117
Multimodal Recommendation of Messenger Channels.,2022,11,10.1145/3524842.3528441
Standing on shoulders or feet?: the usage of the MSR data papers.,2019,12,10.1109/MSR.2019.00085
SOSum: A Dataset of Stack Overflow Post Summaries.,2022,5,10.1145/3524842.3528487
A Study on the Role of Software Architecture in the Evolution and Quality of Software.,2015,12,10.1109/MSR.2015.30
PathMiner: a library for mining of path-based representations of code.,2019,5,10.1109/MSR.2019.00013
Exploring the Effect of Multiple Natural Languages on Code Suggestion Using GitHub Copilot.,2024,6,10.1145/3643991.3644917
Automatic clustering of code changes.,2016,12,10.1145/2901739.2901749
Cloning and copying between GNOME projects.,2010,4,10.1109/MSR.2010.5463290
Empirical evaluation of reliability improvement in an evolving software product line.,2011,10,10.1145/1985441.1985458
A code clone oracle.,2014,4,10.1145/2597073.2597127
A Dataset of Open-Source Android Applications.,2015,4,10.1109/MSR.2015.79
DRMiner: A Tool For Identifying And Analyzing Refactorings In Dockerfile.,2024,11,10.1145/3643991.3644921
Refactoring for Dockerfile Quality: A Dive into Developer Practices and Automation Potential.,2025,13,10.1109/MSR66628.2025.00116
Patch Me If You Can - Securing the Linux Kernel.,2025,2,10.1109/MSR66628.2025.00031
Mining Code Review Data to Understand Waiting Times Between Acceptance and Merging: An Empirical Analysis.,2022,12,10.1145/3524842.3528432
What Warnings Do Engineers Really Fix? The Compiler That Cried Wolf.,2023,2,10.1109/MSR59073.2023.00068
The Unexplored Treasure Trove of Phabricator Code Reviews.,2022,5,10.1145/3524842.3528005
Do Small Code Changes Merge Faster? A Multi-Language Empirical Investigation.,2022,12,10.1145/3524842.3528448
Are We Speeding Up or Slowing Down? On Temporal Aspects of Code Velocity.,2023,5,10.1109/MSR59073.2023.00046
Automatic labeling of software components and their evolution using log-likelihood ratio of word frequencies in source code.,2009,4,10.1109/MSR.2009.5069499
AndroOBFS: Time-tagged Obfuscated Android Malware Dataset with Family Information.,2022,5,10.1145/3524842.3528493
An evaluation of open-source software microbenchmark suites for continuous performance assessment.,2018,12,10.1145/3196398.3196407
On the transfer of evolutionary couplings to industry.,2009,4,10.1109/MSR.2009.5069502
Do Onboarding Programs Work?,2015,5,10.1109/MSR.2015.45
Analyzing Dependency Clusters and Security Risks in the Maven Central Repository.,2025,5,10.1109/MSR66628.2025.00046
Predicting the severity of a reported bug.,2010,10,10.1109/MSR.2010.5463284
The eclipse and mozilla defect tracking dataset: a genuine dataset for mining bug information.,2013,4,10.1109/MSR.2013.6624028
Exploring the use of automated API migrating techniques in practice: an experience report on Android.,2018,12,10.1145/3196398.3196420
How Effective is Continuous Integration in Indicating Single-Statement Bugs?,2021,5,10.1109/MSR52588.2021.00062
Mining software effort data: preliminary analysis of visual studio team system data.,2008,4,10.1145/1370750.1370762
Topic modeling of NASA space system problem reports: research in practice.,2016,12,10.1145/2901739.2901760
Improving the accuracy of duplicate bug report detection using textual similarity measures.,2014,4,10.1145/2597073.2597088
Generating duplicate bug datasets.,2014,4,10.1145/2597073.2597128
On the Use of Fine-grained Vulnerable Code Statements for Software Vulnerability Assessment Models.,2022,13,10.1145/3524842.3528433
An Empirical Study of Architectural Change in Open-Source Software Systems.,2015,11,10.1109/MSR.2015.29
Are Latent Vulnerabilities Hidden Gems for Software Vulnerability Prediction? An Empirical Study.,2024,12,10.1145/3643991.3644919
PUMiner: Mining Security Posts from Developer Question and Answer Websites with PU Learning.,2020,12,10.1145/3379597.3387443
Thesaurus-based automatic query expansion for interface-driven code search.,2014,10,10.1145/2597073.2597087
Automated software vulnerability assessment with concept drift.,2019,12,10.1109/MSR.2019.00063
Curated Email-Based Code Reviews Datasets.,2024,5,10.1145/3643991.3644872
DataTD: A Dataset of Java Projects Including Test Doubles.,2025,5,10.1109/MSR66628.2025.00124
