DOI,IEEE Terms,numPages,title,year
10.1109/MSR59073.2023.00023,Measurement;Surveys;Visualization;Codes;Systematics;Web services;Prototypes,12,Evaluating Software Documentation Quality.,2023
10.1109/MSR52588.2021.00024,Deep learning;Adaptation models;Java;Bit error rate;Semantics;Predictive models;Software,12,An Empirical Study on the Usage of BERT Models for Code Completion.,2021
10.1109/MSR52588.2021.00060,Industries;Service robots;Operating systems;Ecosystems;Software;Energy efficiency;Data mining,12,Mining Energy-Related Practices in Robotics Software.,2021
10.1109/MSR66628.2025.00110,Training;Visualization;Computer languages;Analytical models;Codes;Statistical analysis;Computational modeling;Predictive models;Probabilistic logic;Data models,13,TriGraph: A Probabilistic Subgraph-Based Model for Visual Code Completion in Pure Data.,2025
10.1109/MSR52588.2021.00044,Search engines;Programming;Software;Internet;Data mining;Python,12,Googling for Software Development: What Developers Search For and What They Find.,2021
10.1145/3524842.3527960,Analytical models;Systematics;Data analysis;Correlation;Data models;Software;Reproducibility of results,12,Operationalizing Threats to MSR Studies by Simulation-Based Testing.,2022
10.1145/3643991.3644899,Codes;Automation;Source coding;Ecosystems;Software;Security;Software measurement,12,Quantifying Security Issues in Reusable JavaScript Actions in GitHub Workflows.,2024
10.1109/MSR66628.2025.00118,Software maintenance;Time-frequency analysis;Codes;Costs;Source coding;Computer bugs;Software quality;Solids;Maintenance;Resource management,13,Evidence is All We Need: Do Self-Admitted Technical Debts Impact Method-Level Maintenance?,2025
10.1109/MSR59073.2023.00019,Manuals;Machine learning;Market research;Software;Data mining;Software engineering;Software development management,13,AutoML from Software Engineering Perspective: Landscapes and Challenges.,2023
10.1109/MSR59073.2023.00036,Training;Adaptation models;Computer languages;Codes;Computational modeling;Source coding;Syntactics,11,Model-Agnostic Syntactical Information for Pre-Trained Programming Language Models.,2023
10.1109/MSR52588.2021.00027,Industries;Measurement;Training;Biological system modeling;Training data;Machine learning;Production,12,An Exploratory Study of Log Placement Recommendation in an Enterprise System.,2021
10.1109/MSR59073.2023.00048,Training;Energy consumption;Pipelines;Machine learning;Libraries;Energy efficiency;Cleaning,12,An Exploratory Study on Energy Consumption of Dataframe Processing Libraries.,2023
10.1109/MSR59073.2023.00042,Pipelines;Manuals;Chatbots;Software;Libraries;Security;Task analysis,13,Investigating the Resolution of Vulnerable Dependencies with Dependabot Security Updates.,2023
10.1109/MSR52588.2021.00058,Java;Computer languages;Taxonomy;Software;Data mining;Software development management,11,Characterising the Knowledge about Primitive Variables in Java Code Comments.,2021
10.1109/MSR52588.2021.00037,Manuals;Security;Data mining;Open source software;Software development management,12,On the Use of Dependabot Security Pull Requests.,2021
10.1145/3643991.3644898,Analytical models;Adaptation models;Technological innovation;Biological system modeling;Hafnium;Predictive models;Market research,12,Analyzing the Evolution and Maintenance of ML Models on Hugging Face.,2024
