"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"[Front cover]","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","1","1","Presents the front cover/splash page of the proceedings record.","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796328","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Title Page iii","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","3","3","Presents the title page of this proceedings volume.","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796286","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Table of Contents","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","v","xvii","Presents the table of contents/splash page of the proceedings record.","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796375","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Message from the MSR 2022 General and Program Co-Chairs","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xviii","xxii","Provides a listing of current committee members and society officers.","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796203","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Message from the MSR 2022 Data and Tool Showcase Track Co-Chairs","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xxiii","xxiii","On behalf of the entire Program Committee, it is our pleasure to welcome you to the Data and Tool Showcase Track of MSR 2022! The goal of this track is to provide a forum for actively promoting and recognizing the creation of reusable datasets and tools that are designed and built not only for a specific research project, but for the MSR community as a whole","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796233","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Message from the MSR 2022 Hackathon Track Co-Chairs","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xxiv","xxiv","Today, software is developed thanks to many supporting systems, which provide help for source code management, code review, issue tracking, synchronous or asynchronous interpersonal communication, continuous integration, and many other tasks. Many of these systems store a wealth of data about how software is being developed, allowing for detailed studies and exploration tools that could be used to better understand software development","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796348","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Message from the MSR 2022 Industry Track Co-Chairs","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xxv","xxv","The MSR 2022 Industry Track is the venue to present and learn about the opportunities, challenges, and cutting-edge technology related to using data from software repositories in practice. For a long time, academic researchers in software engineering have been looking to learn and collaborate with practitioners. Our goal for the new Industry Track is to be the space for a productive dialogue between software engineering researchers and practitioners, particularly those building tools for other software professionals. ","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796177","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Message from the MSR 2022 Mining Challenge Track Co-Chairs","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xxvi","xxvii","The Mining Software Repositories (MSR) challenge is a long-standing tradition, dating back to 2006. It is open to all researchers in the field, and frequently participated in by young researchers and motivated students. MSR 2022 has been no exception, with the MSR conference holding the 17th edition of the challenge, which we have been honored to chair. ","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796282","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Message from the MSR 2022 Registered Reports Track Co-Chairs","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xxviii","xxix","Empirical Software Engineering Journal (EMSE), in conjunction with the conference on Mining Software Repositories (MSR), is continuing the Registered Reports (RR) track. The RR track of MSR 2022 has two goals: (1) to prevent HARKing (hypothesizing after the results are known) for empirical studies; (2) to provide early feedback to authors in their initial study design. For papers submitted to the RR track, methods and proposed analyses are reviewed prior to execution. Pre-registered studies follow a two-step process: ","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796294","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Message from the MSR 2022 Shadow PC Track Co-Chairs","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xxx","xxx","The Shadow PC track was introduced in MSR 2021. It is a unique opportunity for PhD students and early career researchers to understand the peer review process first hand. MSR 2022 continued with the Shadow PC track while learning from the lessons of the previous year, mainly scaling the load of shadow PC members and mentors.","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796189","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Message from the MSR 2022 Tutorials Track Co-Chairs","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xxxi","xxxi","","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796342","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Organizing Committee","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xxxii","xxxiv","Provides a listing of current committee members.","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796259","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"Program Committee","",,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","xxxv","xliv","","2574-3864","978-1-4503-9303-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796367","","","","","","","","21 Jun 2022","","","IEEE","IEEE Conferences"
"An Empirical Evaluation of GitHub Copilot's Code Suggestions","N. Nguyen; S. Nadi","University of Alberta, Edmonton, AB, Canada; University of Alberta, Edmonton, AB, Canada",2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","1","5","GitHub and OpenAI recently launched Copilot, an “AI pair programmer” that utilizes the power of Natural Language Processing, Static Analysis, Code Synthesis, and Artificial Intelligence. Given a natural language description of the target functionality, Copilot can generate corresponding code in several programming languages. In this paper, we perform an empirical study to evaluate the correctness and understandability of Copilot's suggested code. We use 33 LeetCode questions to create queries for Copilot in four different programming languages. We evaluate the correctness of the corresponding 132 Copilot solutions by running LeetCode's provided tests, and evaluate understandability using SonarQube's cyclomatic complexity and cognitive complexity metrics. We find that Copilot's Java suggestions have the highest correctness score (57%) while JavaScript is the lowest (27%). Overall, Copilot's suggestions have low complexity with no notable differences between the programming languages. We also find some potential Copilot shortcomings, such as generating code that can be further simplified and code that relies on undefined helper methods.","2574-3864","978-1-4503-9303-4","10.1145/3524842.3528470","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796235","Program Synthesis;Codex;GitHub Copilot;Empirical Evaluation","Measurement;Java;Codes;Static analysis;Software;Natural language processing;Complexity theory","","81","","32","","21 Jun 2022","","","IEEE","IEEE Conferences"
