"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"[Title page i]","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","1","1","Presents the title page of the proceedings record.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463089","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"[Title page iii]","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","3","3","Presents the title page of the proceedings record.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463064","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"[Copyright notice]","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","4","4","Presents the copyright information for the conference. May include reprint permission information.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463130","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Table of Contents","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","5","13","Presents the table of contents/splash page of the proceedings record.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463087","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Message from the MSR 2021 Chairs","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","14","16","Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463128","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Message from the MSR 2021 Data Showcase Track Co-Chairs","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","17","17","Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463097","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Message from the MSR 2021 Hackathon Co-Chairs","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","18","18","Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463104","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Message from the MSR 2021 Mining Challenge Track Co-Chairs","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","19","19","Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463131","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Message from the MSR 2021 Registered Reports Track Co-Chairs","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","20","20","Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463152","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Message from the MSR 2021 Shadow PC and Advisors Co-Chairs","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","21","21","Presents the introductory welcome message from the conference proceedings. May include the conference officers' congratulations to all involved with the conference event and publication of the proceedings record.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463102","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Organizing Committee","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","22","23","Provides a listing of current committee members and society officers.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463071","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Program Committee","",,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","24","33","Provides a listing of current committee members and society officers.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463085","","","","","","","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Mining Workflows for Anomalous Data Transfers","H. Tu; G. Papadimitriou; M. Kiran; C. Wang; A. Mandal; E. Deelman; T. Menzies","Department of Computer Science, North Carolina State University, Raleigh, USA; University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA; Energy Sciences Network (ESnet), Lawrence Berkeley National Labs, CA, USA; RENCI, University of North Carolina, Chapel Hill, NC, USA; RENCI, University of North Carolina, Chapel Hill, NC, USA; University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA; Department of Computer Science, North Carolina State University, Raleigh, USA",2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","1","12","Modern scientific workflows are data-driven and are often executed on distributed, heterogeneous, high-performance computing infrastructures. Anomalies and failures in the work-flow execution cause loss of scientific productivity and inefficient use of the infrastructure. Hence, detecting, diagnosing, and mitigating these anomalies are immensely important for reliable and performant scientific workflows. Since these workflows rely heavily on high-performance network transfers that require strict QoS constraints, accurately detecting anomalous network performance is crucial to ensure reliable and efficient workflow execution. To address this challenge, we have developed X-FLASH, a network anomaly detection tool for faulty TCP workflow transfers. X-FLASH incorporates novel hyperparameter tuning and data mining approaches for improving the performance of the machine learning algorithms to accurately classify the anomalous TCP packets. X-FLASH leverages XGBoost as an ensemble model and couples XGBoost with a sequential optimizer, FLASH, borrowed from search-based Software Engineering to learn the optimal model parameters. X-FLASH found configurations that outperformed the existing approach up to 28%, 29%, and 40% relatively for F-measure, G-score, and recall in less than 30 evaluations. From (1) large improvement and (2) simple tuning, we recommend future research to have additional tuning study as a new standard, at least in the area of scientific workflow anomaly detection.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463120","Scientific Workflow;TCP Signatures;Anomaly Detection;Hyper-Parameter Tuning;Sequential Optimization","Radio frequency;Tools;Data transfer;Data models;Software;Software reliability;Tuning","","7","","69","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"PSIMiner: A Tool for Mining Rich Abstract Syntax Trees from Code","E. Spirin; E. Bogomolov; V. Kovalenko; T. Bryksin","JetBrains Research, Higher School of Economics, Saint Petersburg, Russia; JetBrains Research, Higher School of Economics, Saint Petersburg, Russia; JetBrains Research, JetBrains N.V., Amsterdam, The Netherlands; JetBrains Research, Saint Petersburg State University, Saint Petersburg, Russia",2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","13","17","The application of machine learning algorithms to source code has grown in the past years. Since these algorithms are quite sensitive to input data, it is not surprising that researchers experiment with input representations. Nowadays, a popular starting point to represent code is abstract syntax trees (ASTs). Abstract syntax trees have been used for a long time in various software engineering domains, and in particular in IDEs. The API of modern IDEs allows to manipulate and traverse ASTs, resolve references between code elements, etc. Such algorithms can enrich ASTs with new data and therefore may be useful in ML-based code analysis. In this work, we present PSIMiner— a tool for processing PSI trees from the IntelliJ Platform. PSI trees contain code syntax trees as well as functions to work with them, and therefore can be used to enrich code representation using static analysis algorithms of modern IDEs. To showcase this idea, we use our tool to infer types of identifiers in Java ASTs and extend the code2seq model for the method name prediction problem.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463105","Software Engineering;Data mining;Code representation","Machine learning algorithms;Software algorithms;Static analysis;Tools;Syntactics;Predictive models;Data models","","9","","24","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Comparative Study of Feature Reduction Techniques in Software Change Prediction","R. Malhotra; R. Kapoor; D. Aggarwal; P. Garg","Department of Software Engineering, Delhi Technological University, Delhi, India; Department of Software Engineering, Delhi Technological University, Delhi, India; Department of Software Engineering, Delhi Technological University, Delhi, India; Department of Software Engineering, Delhi Technological University, Delhi, India",2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","18","28","Software change prediction (SCP) is the process of identifying change-prone software classes using various structural and quality metrics by developing predictive techniques. The previous studies done in this field strongly confer the correlation between the quality of metrics and the performance of such SCP models. Past SCP studies have also applied different feature reduction (FR) techniques to address issues of high dimensionality, feature irrelevance, and feature repetition. Due to the vast variety of metric suites and FR techniques applied in SCP, there is a need to analyze and compare them. It will help in identifying the most crucial features and the most effective FR techniques. So, in this research, we conduct experiments to compare and contrast 60 Object-Oriented plus 26 Graph-based metrics and 11 state-of-the-art FR techniques previously employed for SCP over a range of 6 Java projects and 3 diverse classifiers. The AUC-ROC measures and statistical tests over experimental SCP models indicate that FR techniques are effective in SCP. Also, there exist significant differences in the performance of the different FR techniques. Furthermore, from this extensive experimentation, we were able to identify a set of the most effective FR techniques and the most crucial metrics which can be used to build effective SCP models.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463086","Software change prediction;Feature reduction;Object-Oriented metrics;Graph-based metrics;Machine Learning","Measurement;Java;Correlation;Object oriented modeling;Software;Data mining","","3","","42","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Automatic Part-of-Speech Tagging for Security Vulnerability Descriptions","S. Yitagesu; X. Zhang; Z. Feng; X. Li; Z. Xing","College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; Data61 CSIRO, Research School of Computer Science, Australian National University, Australia",2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),"28 Jun 2021","2021","","","29","40","In this paper, we study the problem of part-of-speech (POS) tagging for security vulnerability descriptions (SVD). In contrast to newswire articles, SVD often contains a high-level natural language description of the text composed of mixed language studded with codes, domain-specific jargon, vague language, and abbreviations. Moreover, training data dedicated to security vulnerability research is not widely available. Existing neural network-based POS tagging has often relied on manually annotated training data or applying natural language processing (NLP) techniques, suffering from two significant drawbacks. The former is extremely time-consuming and requires labor-intensive feature engineering and expertise. The latter is inadequate to identify linguistically-informed words specific to the SVD domain. In this paper, we propose an automatic approach to assign POS tags to tokens in SVD. Our approach uses the character-level representation to automatically extract orthographic features and unsupervised word embeddings to capture meaningful syntactic and semantic regularities from SVD. The character level representations are then concatenated with the word embedding as a combined feature, which is then learned and used to predict the POS tagging. To deal with the issue of the poor availability of annotated security vulnerability data, we implement a finetuning approach. Our approach provides public access to a POS annotated corpus of ~8M tokens, which serves as a training dataset in this domain. Our evaluation results show a significant improvement in accuracy (17.72%-28.22%) of POS tagging in SVD over the current approaches.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00016","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463114","Fine-Tuning;Part-of-Speech tagging;Unsupervised word embedding;Security vulnerability descriptions","Training;Training data;Tagging;Tools;Syntactics;Feature extraction;Natural language processing","","11","","52","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
