Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Title Page i,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,1,1,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555603,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
Title Page iii,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,2,2,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555879,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
Table of Contents,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,4,15,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555689,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
"Message from the MSR 2024 General, Program, and Junior PC Chairs",,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,16,19,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555795,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
Message from the MSR 2024 Data and Tool Showcase Track Co-Chairs,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,20,20,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555776,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
Message from the MSR 2024 Industry Track Co-Chairs,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,21,21,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555705,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
Message from the MSR 2024 Mining Challenge Co-Chairs,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,22,24,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555856,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
Message from the MSR 2024 Registered Reports Track Co-Chairs,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,25,26,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555837,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
Message from the MSR 2024 Tutorials Track Co-Chairs,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,27,27,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555624,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
Message from the MSR 2024 Vision and Reflection Track Co-Chairs,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,28,28,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555596,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
Organizing Committee,,,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),18 Jun 2024,2024,,,29,30,,2574-3864,979-8-4007-0587-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555665,,,,,,,,18 Jun 2024,,,IEEE,IEEE Conferences
