"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Title Page i","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","1","1","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174173","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Title Page iii","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","3","3","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174046","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Copyright Page","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","4","4","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10173936","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Table of Contents","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","5","13","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174203","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Message from the MSR 2023 General and Program Co-Chairs","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","14","16","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174047","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Message from the MSR 2023 Data and Tool Showcase Track Co-Chairs","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","17","17","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10173971","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Message from the MSR 2023 Industry Track Co-Chairs","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","18","18","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174204","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Message from the MSR 2023 Mining Challenge Co-Chairs","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","19","21","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174142","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Message from the MSR 2023 Registered Reports Track Co-Chairs","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","22","22","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174068","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Message from the MSR 2023 Junior PC Co-Chairs","",,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),"12 Jul 2023","2023","","","23","24","","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10173862","","","","","","","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
