"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Title Page i","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","1","1","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025599","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Title Page iii","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","3","3","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025733","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Copyright Page","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","4","4","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025793","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Table of Contents","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","5","17","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025645","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Message from the General, Program, and Junior PC Chairs","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","18","21","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025537","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Message from the Data and Tool Showcase Track Co-Chairs","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","22","22","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025787","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Message from the Industry Track Co-Chairs","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","23","23","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025710","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Message from the Mining Challenge Co-Chairs","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","24","25","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025696","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Message from the Registered Reports Track Co-Chairs","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","26","27","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025588","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Message from the Tutorials Track Co-Chairs","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","28","28","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025711","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Message from the Vision and Reflection Track Co-Chairs","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","29","29","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025569","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Organizing Committee","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","30","31","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025600","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Program Committees","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","32","40","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025582","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Keynote","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","41","41","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025719","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Vision and Reflection Track Abstracts","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","42","42","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025797","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Tutorials","",,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","43","45","","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025742","","","","","","","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Learning from Mistakes: Understanding Ad-hoc Logs through Analyzing Accidental Commits","Y. -H. Chou; Y. Min; A. Y. Wang; J. A. Jones","University of California, Irvine, Irvine, United States; Amazon, Toronto, Toronto, Canada; ETH Zürich, Zürich, Switzerland; University of California, Irvine, Irvine, United States",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","1","13","Developers often insert temporary “print” or “log” instructions into their code to help them better understand runtime behavior, usually when the code is not behaving as they expected. Despite the fact that such monitoring instructions, or “ad-hoc logs,” are so commonly used by developers, there is almost no existing literature that studies developers’ practices in how they use them. This paucity of knowledge of the use of these ephemeral logs may be largely due to the fact that they typically only exist in the developers’ local environments and are removed before they commit their code to their revision control system. In this work, we overcame this challenge by observing that developers occasionally mistakenly forget to remove such instructions before committing, and then they remove them shortly later. Additionally, we further studied such developer logging practices by watching and analyzing live-streamed coding videos. Through these empirical approaches, we presented where, how, and why developers use ad-hoc logs to better understand their code and its execution. We collected 27 GB of accidental commits that removed 548,880 ad-hoc logs in JavaScript from GitHub Archive repositories to provide the first large-scale dataset and empirical studies on ad-hoc logging practices. Our results revealed several illuminating findings, including a particular propensity for developers to use ad-hoc logs in asynchronous and callback functions. Our findings provided both empirical evidence and a valuable dataset for researchers and tool developers seeking to enhance ad-hoc logging practices, and potentially deepen our understanding of developers’ practices towards understanding of software’s runtime behaviors.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025683","Empirical Software Engineering;Ad-hoc Logs;Mining Software Repository","Codes;Runtime;Market research;Software;Libraries;Encoding;Data mining;Monitoring;Videos;Software development management","","","","62","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"On the calibration of Just-in-time Defect Prediction","X. Shahini; J. Bartel; K. Pohl","paluno-the Ruhr Institute for Software Technology University of Duisburg Essen, Essen, Germany; paluno-the Ruhr Institute for Software Technology University of Duisburg Essen, Essen, Germany; paluno-the Ruhr Institute for Software Technology University of Duisburg Essen, Essen, Germany",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","14","26","Just-in-time defect prediction (JIT DP) leverages machine learning to identify defect-prone code commits, enabling quality assurance (QA) teams to allocate resources more efficiently by focusing on commits that are most likely to contain defects. Although JIT defect prediction techniques have introduced notable improvements in terms of predictive accuracy, they are still susceptible to misclassification errors such as false positives and false negatives. To preserve the practical utility of JIT defect prediction tools, it becomes essential to estimate the reliability of the predictions, i.e., computing confidence scores. Such scores can help practitioners identify predictions that are most likely to be correct. A simple approach to computing confidence scores is to extract, alongside each prediction, the corresponding prediction probabilities and use them as indicators of confidence. However, for these probabilities to reliably serve as confidence scores, the predictive model must be well-calibrated. This means that the prediction probabilities must accurately represent the true likelihood of each prediction being correct. Miscalibration, common in modern machine learning models, distorts probability scores such that the model’s prediction probabilities do not align with the actual probability of those predictions being correct. Despite its importance, model calibration has been largely overlooked in JIT defect prediction. In this study, we evaluate the calibration of several state-of-theart JIT defect prediction techniques to determine whether and to what extent they exhibit poor calibration. Furthermore, we assess whether post-calibration methods can improve the calibration of existing JIT defect prediction models. Our experimental analysis reveals that all evaluated JIT DP models exhibit some level of miscalibration, with Expected Calibration Error (ECE) ranging from 2% to 35%. Furthermore, post-calibration methods do not consistently improve the calibration of these JIT DP models. Index Terms-Just-in-time defect prediction, machine learning, model calibration, prediction probabilities, prediction reliability.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025774","Just-in-time defect prediction;machine learning;model calibration;prediction probabilities;prediction reliability","Training;Quality assurance;Accuracy;Machine learning;Predictive models;Software;Nickel;Calibration;Software reliability;Resource management","","","","41","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"An Empirical Study on Leveraging Images in Automated Bug Report Reproduction","D. Wang; Z. Zhang; S. Feng; W. G. J. Halfond; T. Yu","University of Connecticut, USA; University of Southern California, USA; Monash University, Australia; University of Southern California, USA; University of Connecticut, USA",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","27","38","Automated bug reproduction is a challenging task, with existing tools typically relying on textual steps-to-reproduce, videos, or crash logs in bug reports as input. However, images provided in bug reports have been overlooked. To address this gap, this paper presents an empirical study investigating the necessity of including images as part of the input in automated bug reproduction. We examined the characteristics and patterns of images in bug reports, focusing on (1) the distribution and types of images (e.g., UI screenshots), (2) documentation patterns associated with images (e.g., accompanying text, annotations), and (3) the functional roles they served, particularly their contribution to reproducing bugs. Furthermore, we analyzed the impact of images on the performance of existing tools, identifying the reasons behind their influence and the ways in which they can be leveraged to improve bug reproduction. Our findings reveal several key insights that demonstrate the importance of images in supporting automated bug reproduction. Specifically, we identified six distinct functional roles that images serve in bug reports, each exhibiting unique patterns and specific contributions to the bug reproduction process. This study offers new insights into tool advancement and suggests promising directions for future research.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00019","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025660","Android;Bug report;Empirical study","Accuracy;Annotations;Computer bugs;Focusing;Documentation;Software;Data mining;Videos","","","","42","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"It’s About Time: An Empirical Study of Date and Time Bugs in Open-Source Python Software","S. Tiwari; S. Chen; A. Joukov; P. Vandervelde; A. Li; R. Padhye","Carnegie Mellon University, Pittsburgh, PA, USA; University of California, San Diego, San Diego, CA, USA; Stony Brook University, Stony Brook, NY, USA; University of California, Santa Barbara, Santa Barbara, CA, USA; Carnegie Mellon University, Pittsburgh, PA, USA; Carnegie Mellon University, Pittsburgh, PA, USA",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","39","51","Accurately performing date and time calculations in software is non-trivial due to the inherent complexity and variability of temporal concepts such as time zones, daylight saving time (DST) adjustments, leap years and leap seconds, clock drifts, and different calendar systems. Although the challenges are frequently discussed in the grey literature, there has not been any systematic study of date/time issues that have manifested in real software systems. To bridge this gap, we qualitatively study 151 bugs and their associated fixes from open-source Python projects on GitHub to understand: (a) the conceptual categories of date/time computations in which bugs occur, (b) the programmatic operations involved in the buggy computations, and (c) the underlying root causes of these errors. We also analyze metrics such as bug severity and detectability as well as fix size and complexity. Our study produces several interesting findings and actionable insights, such as (1) time-zone-related mistakes are the largest contributing factor to date/time bugs; (2) a majority of the studied bugs involved incorrect construction of date/time values; (3) the root causes of date/time bugs often involve misconceptions about library API behavior, such as default conventions or nuances about edge-case behavior; (4) most bugs occur within a single function and can be patched easily, requiring only a few lines of simple code changes. Our findings indicate that static analysis tools can potentially find common classes of high-impact bugs and that such bugs can potentially be fixed automatically. Based on our insights, we also make concrete recommendations to software developers to harden their software against date/time bugs via automated testing strategies.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025657","date;time;time zone;DST;empirical study;software bugs","Systematics;Computer bugs;Static analysis;Software systems;Software;Libraries;Complexity theory;Testing;Software development management;Python","","","","56","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Enhancing Just-In-Time Defect Prediction Models with Developer-Centric Features","E. Guglielmi; A. D’Aguanno; R. Oliveto; S. Scalabrino","DEVISER @ University of Molise, Italy; DEVISER @ University of Molise, Italy; DEVISER @ University of Molise, Italy; DEVISER @ University of Molise, Italy",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","52","62","Ensuring high software quality in development cycles with frequent updates is critical, especially in Agile and CI/CD environments. Just-In-Time Software Defect Prediction (JIT-SDP) has emerged as a promising solution for finding bugs early, as it enables immediate identification of changes prone to defects. JIT-SPD models based on Machine Learning focus primarily on project- and change-specific features, such as number of lines added and number of files modified in the change. Recent research has started to investigate developer-related features for defect prediction. However, these studies overlook information about developers’ work habits and cross-project activities. In this paper, we try to fill this gap by introducing a set of developer-centric features for JIT-SDP, which span through temporal aspects (when do developers usually make commits?), change-related aspects (how do developers usually make commits?), and project-related aspects (how are the contributions distributed among different repositories?). We conducted an empirical evaluation to understand if such features allow to improve ML-based JIT-SPD models and evaluated the importance of developer-centric features on the performance of the model. Our results show that integrating developer-centric features improves model performance. We observed a +15.48% precision and +10.47% recall in a within-project evaluation and +14.59% precision and even +85.83% recall in cross-project evaluation.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025715","Just-in-Time Software Defect Prediction;Developer Centric;Mining software repositories","Computer bugs;Software quality;Machine learning;Predictive models;Data mining","","","","56","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Revisiting Defects4J for Fault Localization in Diverse Development Scenarios","M. N. Rafi; A. R. Chen; T. -H. P. Chen; S. Wang","Software Performance, Analysis, and Reliability (SPEAR) Lab, Concordia University, Montréal, Québec, Canada; University of Alberta, Edmonton, Canada; Software Performance, Analysis, and Reliability (SPEAR) Lab, Concordia University, Montréal, Québec, Canada; Central University of Finance and Economics, Beijing, China",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","63","75","Defects4J stands out as a leading benchmark dataset for software testing research, providing a controlled environment to study real bugs from prominent open-source systems. While Defects4J provides a clean and valuable dataset, we aim to explore how fault localization techniques perform under less-controlled development scenarios. In this paper, we revisited Defects4J to study developers’ changes to fault-triggering tests after the bugs were reported/fixed. We aim to introduce a new evaluation scenario within Defects4J, focusing on the implications of regression tests and test changes added after the bug was fixed. We analyze when these tests were modified relative to bug report creation and examine spectrum-based fault localization (SBFL) performance in less-controlled settings. Our findings show that 1) 55% of the fault-triggering tests were added to replicate the bug or test for regression; 2) 22% of the tests were changed after the bug reports, incorporating information related to the bug; 3) developers often update tests with new assertions or changes to match source code updates; and 4) SBFL performance differs significantly in less-controlled settings (down by at most 90% for Mean First Rank). Our study points out the diverse development scenarios in the studied bugs, highlighting new settings for future SBFL evaluations and bug benchmarks.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025619","Fault localization;Defects4J;Empirical study","Location awareness;Software testing;Source coding;Computer bugs;Focusing;Debugging;Benchmark testing;Maintenance engineering;Software;Software development management","","","","70","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Mining Bug Repositories for Multi-Fault Programs","D. Callaghan; B. Fischer","Stellenbosch University, Stellenbosch, South Africa; Stellenbosch University, Stellenbosch, South Africa",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","76","80","Datasets such as Defects4J and BugsInPy that contain bugs from real-world software projects are necessary for a realistic evaluation of automated debugging tools. However, these datasets largely identify only a single bug in each entry, while real-world software projects (including those used in Defects4J and BugsInPy) typically contain multiple bugs at the same time. We lift this limitation and describe an automated approach to identify multiple existing bugs in the individual dataset entries. We use test case transplantation and fault location translation to expose and locate the bugs, respectively. We identified 9.2 faults on average in each of the 311 versions of the 5 projects in Defects4J, and 18.6 faults in 501 versions of the 17 projects in BugsInPy. We thus provide datasets of true multi-fault versions within real-world software projects, which maintain the properties, format and usability of the original datasets.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025646","bug dataset;real faults;testing and debugging","Location awareness;Translation;Computer bugs;Fault location;Maintenance engineering;Software;Reproducibility of results;Extensibility;Data mining;Usability","","1","","22","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"HaPy-Bug – Human Annotated Python Bug Resolution Dataset","P. Przymus; M. Fejzer; J. Narębski; R. Woźniak; Ł. Halada; A. Kazecki; M. Molchanov; K. Stencel","Nicolaus Copernicus University, Toruń, Poland; Nicolaus Copernicus University, Toruń, Poland; Nicolaus Copernicus University, Toruń, Poland; Nicolaus Copernicus University, Toruń, Poland; University of Wrocław, Wrocław, Poland; Nicolaus Copernicus University, Toruń, Poland; University of Warsaw, Warsaw, Poland; Kyiv Polytechnic Institute, Kyiv, Ukraine",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","81","85","We present HaPy-Bug, a curated dataset of 793 Python source code commits associated with bug fixes, with each line of code annotated by three domain experts. The annotations offer insights into the purpose of modified files, changes at the line level, and reviewers’ confidence levels. We analyze HaPy-Bug to examine the distribution of file purposes, types of modifications, and tangled changes. Additionally, we explore its potential applications in bug tracking, the analysis of bug-fixing practices, and the development of repository analysis tools. HaPy-Bug serves as a valuable resource for advancing research in software maintenance and security.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025740","CVE;Software quality","Software maintenance;Codes;Annotations;Source coding;Computer bugs;Software quality;Security;Tuning;Python;Software development management","","","","18","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"SPRINT: An Assistant for Issue Report Management","A. Adnan; A. Saha; O. Chaparro","University of Dhaka, Dhaka, Bangladesh; William & Mary, Williamsburg, Virginia, USA; William & Mary, Williamsburg, Virginia, USA",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","86","90","Managing issue reports is essential for the evolution and maintenance of software systems. However, manual issue management tasks such as triaging, prioritizing, localizing, and resolving issues are highly resource-intensive for projects with large codebases and users. To address this challenge, we present SPRINT, a GitHub application that utilizes state-of-the-art deep learning techniques to streamline issue management tasks. SPRINT assists developers by: (i) identifying existing issues similar to newly reported ones, (ii) predicting issue severity, and (iii) suggesting code files that likely require modification to solve the issues. We evaluated SPRINT using existing datasets and methodologies, measuring its predictive performance, and conducted a user study with five professional developers to assess its usability and usefulness. The results show that SPRINT is accurate, usable, and useful, providing evidence of its effectiveness in assisting developers in managing issue reports. SPRINT is an open-source tool available at github.com/sea-lab-wm/sprint_issue_report_assistant_tool.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025725","","Deep learning;Codes;Accuracy;Manuals;Software systems;Maintenance;Data mining;Usability;Software development management","","2","","46","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
